[2026-06-28 19:05:54] 开始获取全市场A股实时行情...
[2026-06-28 19:07:01] 获取到 5867 条股票数据
[2026-06-28 19:07:01] 列映射: {'code': '代码', 'name': '名称', 'price': '最新价', 'change_pct': '年初至今涨跌幅', 'amount': '成交额', 'turnover': '换手率'}
[2026-06-28 19:07:02] 预筛选候选股票: 4876 只
[2026-06-28 19:08:55] [247/4876] 处理 688093 世华科技...
[2026-06-28 19:08:56] [248/4876] 处理 301030 *ST仕净...
[2026-06-28 19:08:56] [249/4876] 处理 300567 精测电子...
[2026-06-28 19:08:57] [250/4876] 处理 300346 南大光电...
[2026-06-28 19:08:57] [251/4876] 处理 688376 美埃科技...
[2026-06-28 19:08:58] [252/4876] 处理 603078 江化微...
[2026-06-28 19:08:58] [253/4876] 处理 300214 日科化学...
[2026-06-28 19:08:58] [254/4876] 处理 300285 国瓷材料...
[2026-06-28 19:08:59] [255/4876] 处理 300013 新宁物流...
[2026-06-28 19:08:59] [256/4876] 处理 603091 众鑫股份...
[2026-06-28 19:09:00] [257/4876] 处理 605277 新亚电子...
[2026-06-28 19:09:00] [258/4876] 处理 688120 华海清科...
[2026-06-28 19:09:01] [259/4876] 处理 688783 西安奕材-U...
[2026-06-28 19:09:01] [260/4876] 处理 300938 信测标准...
[2026-06-28 19:09:02] [261/4876] 处理 688525 佰维存储...
[2026-06-28 19:09:02] [262/4876] 处理 920693 阿为特...
[2026-06-28 19:09:03] [263/4876] 处理 688066 *ST航图...
[2026-06-28 19:09:03]   → 60日跌幅 -47.44%，符合条件！
[2026-06-28 19:09:03] [264/4876] 处理 300655 晶瑞电材...
[2026-06-28 19:09:04] [265/4876] 处理 688061 灿瑞科技...
[2026-06-28 19:09:04] [266/4876] 处理 603989 艾华集团...
[2026-06-28 19:09:05] [267/4876] 处理 600178 东安动力...
[2026-06-28 19:09:05] [268/4876] 处理 002409 雅克科技...
[2026-06-28 19:09:05] [269/4876] 处理 688652 京仪装备...
[2026-06-28 19:09:06] [270/4876] 处理 603800 洪田股份...
[2026-06-28 19:09:06] [271/4876] 处理 603139 康惠股份...
[2026-06-28 19:09:07] [272/4876] 处理 301345 涛涛车业...
[2026-06-28 19:09:07] [273/4876] 处理 300480 光力科技...
[2026-06-28 19:09:08] [274/4876] 处理 300566 激智科技...
[2026-06-28 19:09:08] [275/4876] 处理 301045 天禄科技...
[2026-06-28 19:09:09] [276/4876] 处理 002323 *ST雅博...
[2026-06-28 19:09:09]   → 60日跌幅 -50.38%，符合条件！
[2026-06-28 19:09:09] [277/4876] 处理 300200 高盟新材...
[2026-06-28 19:09:10] [278/4876] 处理 603848 好太太...
[2026-06-28 19:09:10] [279/4876] 处理 603203 快克智能...
[2026-06-28 19:09:11] [280/4876] 处理 600895 张江高科...
[2026-06-28 19:09:11] [281/4876] 处理 300472 *ST新元...
[2026-06-28 19:09:12] [282/4876] 处理 600596 新安股份...
[2026-06-28 19:09:12] [283/4876] 处理 300545 联得装备...
[2026-06-28 19:09:13] [284/4876] 处理 300656 民德电子...
[2026-06-28 19:09:13] [285/4876] 处理 603061 金海通...
[2026-06-28 19:09:13] [286/4876] 处理 300498 温氏股份...
[2026-06-28 19:09:14] [287/4876] 处理 300759 康龙化成...
[2026-06-28 19:09:14] [288/4876] 处理 301178 天亿马...
[2026-06-28 19:09:15] [289/4876] 处理 300345 华民股份...
[2026-06-28 19:09:15] [290/4876] 处理 002714 牧原股份...
[2026-06-28 19:09:16] [291/4876] 处理 301618 长联科技...
[2026-06-28 19:09:16] [292/4876] 处理 001269 欧晶科技...
[2026-06-28 19:09:17] [293/4876] 处理 301186 超达装备...
[2026-06-28 19:09:17] [294/4876] 处理 603657 春光科技...
[2026-06-28 19:09:18] [295/4876] 处理 603688 石英股份...
[2026-06-28 19:09:18] [296/4876] 处理 300650 太龙股份...
[2026-06-28 19:09:19] [297/4876] 处理 600935 华塑股份...
[2026-06-28 19:09:19] [298/4876] 处理 000925 众合科技...
[2026-06-28 19:09:19] [299/4876] 处理 000725 京东方Ａ...
[2026-06-28 19:09:20] [300/4876] 处理 000962 东方钽业...
[2026-06-28 19:09:20] [301/4876] 处理 002990 盛视科技...
[2026-06-28 19:09:21] [302/4876] 处理 688231 隆达股份...
[2026-06-28 19:09:21] [303/4876] 处理 600184 光电股份...
[2026-06-28 19:09:22] [304/4876] 处理 688700 东威科技...
[2026-06-28 19:09:22] [305/4876] 处理 600603 广汇物流...
[2026-06-28 19:09:22]   → 60日跌幅 -38.33%，符合条件！
[2026-06-28 19:09:23] [306/4876] 处理 300710 万隆光电...
[2026-06-28 19:09:23] [307/4876] 处理 002715 登云股份...
[2026-06-28 19:09:24] [308/4876] 处理 301348 蓝箭电子...
[2026-06-28 19:09:24] [309/4876] 处理 688502 茂莱光学...
[2026-06-28 19:09:25] [310/4876] 处理 003004 声迅股份...
[2026-06-28 19:09:25] [311/4876] 处理 002833 弘亚数控...
[2026-06-28 19:09:25] [312/4876] 处理 002860 星帅尔...
[2026-06-28 19:09:26] [313/4876] 处理 603773 沃格光电...
[2026-06-28 19:09:26] [314/4876] 处理 688012 中微公司...
[2026-06-28 19:09:27] [315/4876] 处理 600382 广东明珠...
[2026-06-28 19:09:27] [316/4876] 处理 688175 高凌信息...
[2026-06-28 19:09:28] [317/4876] 处理 300820 英杰电气...
[2026-06-28 19:09:28] [318/4876] 处理 300761 立华股份...
[2026-06-28 19:09:29] [319/4876] 处理 688721 龙图光罩...
[2026-06-28 19:09:29] [320/4876] 处理 605009 豪悦护理...
[2026-06-28 19:09:30] [321/4876] 处理 300812 易天股份...
[2026-06-28 19:09:30] [322/4876] 处理 301197 工大科雅...
[2026-06-28 19:09:31] [323/4876] 处理 603378 *ST亚士...
[2026-06-28 19:09:31] [324/4876] 处理 688216 气派科技...
[2026-06-28 19:09:31] [325/4876] 处理 688486 龙迅股份...
[2026-06-28 19:09:32] [326/4876] 处理 603386 骏亚科技...
[2026-06-28 19:09:32] [327/4876] 处理 001324 长青科技...
[2026-06-28 19:09:33] [328/4876] 处理 300316 晶盛机电...
[2026-06-28 19:09:33] [329/4876] 处理 688582 芯动联科...
[2026-06-28 19:09:34] [330/4876] 处理 301269 华大九天...
[2026-06-28 19:09:34] [331/4876] 处理 300460 ST惠伦...
[2026-06-28 19:09:35] [332/4876] 处理 603668 天马科技...
[2026-06-28 19:09:35] [333/4876] 处理 002541 鸿路钢构...
[2026-06-28 19:09:36] [334/4876] 处理 600337 ST美克...
[2026-06-28 19:09:36] [335/4876] 处理 301585 蓝宇股份...
[2026-06-28 19:09:37] [336/4876] 处理 002335 科华数据...
[2026-06-28 19:09:37] [337/4876] 处理 600500 中化国际...
[2026-06-28 19:09:38] [338/4876] 处理 688206 概伦电子...
[2026-06-28 19:09:38] [339/4876] 处理 688386 泛亚微透...
[2026-06-28 19:09:38] [340/4876] 处理 688785 恒运昌...
[2026-06-28 19:09:39] [341/4876] 处理 603757 大元泵业...
[2026-06-28 19:09:39] [342/4876] 处理 001229 魅视科技...
[2026-06-28 19:09:40] [343/4876] 处理 688523 航天环宇...
[2026-06-28 19:09:40] [344/4876] 处理 600012 皖通高速...
[2026-06-28 19:09:41] [345/4876] 处理 002641 公元股份...
[2026-06-28 19:09:41] [346/4876] 处理 688200 华峰测控...
[2026-06-28 19:09:42] [347/4876] 处理 688219 会通股份...
[2026-06-28 19:09:42] [348/4876] 处理 603057 紫燕食品...
[2026-06-28 19:09:43] [349/4876] 处理 300019 硅宝科技...
[2026-06-28 19:09:43] [350/4876] 处理 300021 大禹节水...
[2026-06-28 19:09:44] [351/4876] 处理 300319 麦捷科技...
[2026-06-28 19:09:44] [352/4876] 处理 300196 长海股份...
[2026-06-28 19:09:44] [353/4876] 处理 300095 华伍股份...
[2026-06-28 19:09:45] [354/4876] 处理 688776 国光电气...
[2026-06-28 19:09:45]   → 60日跌幅 -33.90%，符合条件！
[2026-06-28 19:09:45] [355/4876] 处理 603806 福斯特...
[2026-06-28 19:09:46] [356/4876] 处理 600857 宁波中百...
[2026-06-28 19:09:46] [357/4876] 处理 002586 ST围海...
[2026-06-28 19:09:47] [358/4876] 处理 002137 实益达...
[2026-06-28 19:09:47] [359/4876] 处理 600630 龙头股份...
[2026-06-28 19:09:48] [360/4876] 处理 605111 新洁能...
[2026-06-28 19:09:48] [361/4876] 处理 600641 先导基电...
[2026-06-28 19:09:49] [362/4876] 处理 301128 强瑞技术...
[2026-06-28 19:09:49] [363/4876] 处理 300236 上海新阳...
[2026-06-28 19:09:50] [364/4876] 处理 603350 安乃达...
[2026-06-28 19:09:50] [365/4876] 处理 300041 回天新材...
[2026-06-28 19:09:50] [366/4876] 处理 600141 兴发集团...
[2026-06-28 19:09:51] [367/4876] 处理 300080 易成新能...
[2026-06-28 19:09:51]   → 60日跌幅 -30.26%，符合条件！
[2026-06-28 19:09:51] [368/4876] 处理 920186 中科仪...
[2026-06-28 19:09:52] [369/4876] 处理 605258 协和电子...
[2026-06-28 19:09:52] [370/4876] 处理 300347 泰格医药...
[2026-06-28 19:09:53] [371/4876] 处理 000935 四川双马...
[2026-06-28 19:09:53] [372/4876] 处理 600151 航天机电...
[2026-06-28 19:09:54] [373/4876] 处理 000333 美的集团...
[2026-06-28 19:09:54] [374/4876] 处理 605090 九丰能源...
[2026-06-28 19:09:54] [375/4876] 处理 603690 至纯科技...
[2026-06-28 19:09:55] [376/4876] 处理 603823 百合花...
[2026-06-28 19:09:55] [377/4876] 处理 600179 安通控股...
[2026-06-28 19:09:56] [378/4876] 处理 300125 *ST聆达...
[2026-06-28 19:09:56] [379/4876] 处理 300547 川环科技...
[2026-06-28 19:09:57] [380/4876] 处理 300241 瑞丰光电...
[2026-06-28 19:09:57] [381/4876] 处理 600973 宝胜股份...
[2026-06-28 19:09:58] [382/4876] 处理 002292 奥飞娱乐...
[2026-06-28 19:09:58] [383/4876] 处理 000025 特  力Ａ...
[2026-06-28 19:09:59] [384/4876] 处理 688270 ST臻镭...
